Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
"4bdrm Duplex in Gold Town, Port-Harcourt for sale",350.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,130000000.0
"4bdrm Duplex in Ada George New Road,, Obio-Akpor for sale",350.0,4,4,Unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,Diamond,200000000.0
"3bdrm Bungalow in Emmiers Estate, Ibeju for sale",250.0,3,3,Semi Furnished,"Lagos State, Ibeju",Ibeju,Lagos State,Diamond,88000000.0
5bdrm Duplex in Ikota for sale,500.0,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,250000000.0
2bdrm Bungalow in Lekki Phase 2 for sale,600.0,2,2,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos State,Enterprise,75000000.0
6bdrm Block of Flats in Orile Agege for sale,638.0,6,6,Unfurnished,"Lagos State, Orile",Orile,Lagos State,False,150000000.0
5bdrm Duplex in Lekki for sale,640.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,840000000.0
"5bdrm Maisonette in Oniru, Victoria Island for sale",638.0,5,5,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,False,500000000.0
"5bdrm Duplex in Adeniyi Jones, Ikeja for sale",600.0,5,5,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,670000000.0
3bdrm Block of Flats in Allen Avenue for sale,634.0,3,3,Unfurnished,"Ikeja, Allen Avenue",Allen Avenue,Lagos State,False,300000000.0
4bdrm Duplex in Ogba Lagos for sale,550.0,4,4,Unfurnished,"Lagos State, Ogba",Ogba,Lagos State,False,220000000.0
5bdrm Duplex in Ikota for sale,600.0,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,460000000.0
4bdrm Duplex in Gbagada for sale,600.0,4,4,Unfurnished,"Lagos State, Gbagada",Gbagada,Lagos State,False,450000000.0
"4bdrm Duplex in Cooplag, Lekki Phase 1 for sale",634.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,190000000.0
"4bdrm Duplex in Ikota, Lekki for sale",500.0,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,200000000.0
"4bdrm Duplex in Golf Reserve, Port-Harcourt for sale",500.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,300000000.0
"4bdrm Duplex in Cement Mangoro, Ikeja for sale",600.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,350000000.0
"5bdrm Duplex in Baruwa, Egbeda / Egbeda for sale",500.0,5,5,Unfurnished,"Egbeda, Egbeda / Egbeda",Egbeda / Egbeda,Lagos State,False,150000000.0
3bdrm Block of Flats in Ago Palace for sale,635.0,3,3,Unfurnished,"Isolo, Ago Palace",Ago Palace,Lagos State,False,250000000.0
"4bdrm Duplex in Mandela Estate, Port-Harcourt for sale",465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,160000000.0
"4bdrm Duplex in Cedarwood Estate, Port-Harcourt for sale",465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,300000000.0
"4bdrm Duplex in Reef Court Estate, Port-Harcourt for sale",500.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,400000000.0
7bdrm Block of Flats in Akowonjo for sale,1290.0,7,7,Unfurnished,"Alimosho, Akowonjo",Akowonjo,Lagos State,False,200000000.0
"5bdrm Duplex in Adewole Kuku, Lekki for sale",400.0,5,6,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,550000000.0
4bdrm Duplex in Oko Oba Agege for sale,300.0,4,4,Unfurnished,"Lagos State, Agege",Agege,Lagos State,False,210000000.0
6bdrm Duplex in Isheri Opic for sale,635.0,6,6,Unfurnished,"Ojodu, Isheri North",Isheri North,Lagos State,False,350000000.0
"4bdrm Duplex in Opp Naf Harmony, New Layout for sale",300.0,4,4,Unfurnished,"Port-Harcourt, New Layout",New Layout,Port-Harcourt,Diamond,300000000.0
4bdrm Duplex in Trans Amadi for sale,550.0,4,4,Semi Furnished,"Port-Harcourt, Trans Amadi",Trans Amadi,Port-Harcourt,Diamond,400000000.0
4bdrm Duplex in One Of The Estate At for sale,500.0,4,4,Unfurnished,"Ikeja, Opebi",Opebi,Lagos State,False,300000000.0
4bdrm Duplex in Maryland Ikeja for sale,280.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,300000000.0
5bdrm Duplex in Chevron for sale,600.0,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,600000000.0
"5bdrm Duplex in Oasis Estate, Port-Harcourt for sale",930.0,5,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,300000000.0
Furnished 5bdrm Duplex in Port-Harcourt for sale,500.0,5,6,Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,250000000.0
